market,symbol,name,price,pct,market_cap,liquidity_value,sector,level1_score
KR,222800,심텍,149500,0.95,5753436637000,86694553100,Technology,0.936787
KR,000500,가온전선,318500,-0.93,9484167829500,48994969750,Other,0.934960
KR,036540,SFA반도체,10570,-0.47,1738345402710,64581612360,Technology,0.928749
KR,010170,대한광통신,17700,-0.62,2752096182000,158123523360,Other,0.910081
KR,098120,마이크로컨텍솔,58000,1.93,482140428000,15588447250,Technology,0.907896
KR,009150,삼성전기,1507000,1.41,112563399872000,743457672000,Technology,0.884458
KR,001820,삼화콘덴서,146900,-0.34,1527025500000,92014605700,Technology,0.883218
KR,067310,하나마이크론,46200,1.2,3071878147800,78283234600,Technology,0.882900
KR,064290,인텍플러스,54800,-1.44,710075274400,14628092200,Industrials,0.875678
KR,010950,S-Oil,155600,0.84,17517882435200,58872144050,Energy,0.872798
KR,000990,DB하이텍,132000,0.99,5742605616000,54022998350,Technology,0.866737
KR,003490,대한항공,31500,0.32,11598949183500,130982068100,Industrials,0.864560
KR,036930,주성엔지니어링,209500,2.95,9737794849500,180622863750,Industrials,0.863113
KR,192650,드림텍,8450,-0.94,556743705050,7092574680,Technology,0.863047
KR,119850,지엔씨에너지,56100,2.19,922783794900,24956907000,Utilities,0.861301
KR,131290,티에스이,289000,2.85,3196752981000,20758374500,Technology,0.861172
KR,161890,한국콜마,147000,0.62,3469946319000,40522592900,Materials,0.861115
KR,066570,LG전자,209000,-3.46,34042889342000,114955326500,Technology,0.859551
KR,000660,SK하이닉스,1862000,1.2,1360176783630000,5480333530143,Technology,0.859517
KR,144960,뉴파워프라즈마,12790,4.66,558828660960,18253979650,Industrials,0.858977
KR,078930,GS,110700,0.09,10283531296500,37659704500,Financials,0.852750
KR,000150,두산,1512000,2.65,24485078520000,118116220500,Technology,0.847970
KR,043260,성호전자,26200,-2.78,1976838417600,72759502025,Technology,0.847265
KR,950260,인제니아테라퓨틱스(Reg.S),24400,4.05,1206448410800,79268095725,Healthcare,0.844281
KR,232140,와이씨,14250,-0.42,1169146237500,25395537070,Industrials,0.843963
KR,456010,아이씨티케이,22600,1.57,327753110000,35347643925,Technology,0.841863
KR,437730,삼현,51900,-3.71,1645622727300,21317535800,Industrials,0.840827
KR,006340,대원전선,13490,-1.24,1057810471840,21037840590,Other,0.837749
KR,001440,대한전선,30950,-2.06,6065970846200,94512213125,Other,0.836342
KR,028050,삼성E&A,49350,-3.61,9672600000000,110184302725,Other,0.834550
KR,017900,광전자,9880,-3.14,572484378440,30374224915,Technology,0.834541
KR,024840,KBI메탈,6350,-1.24,276011430450,12968095335,Materials,0.833950
KR,059090,미코,22550,-0.22,753548343900,8063434975,Technology,0.832650
KR,062040,산일전기,205500,0.24,6297105675000,25446226750,Utilities,0.830113
KR,425420,티에프이,64300,-0.16,793923738300,4342503050,Technology,0.830088
KR,105560,KB금융,173200,-1.42,61431915528800,118050253200,Financials,0.828738
KR,402340,SK스퀘어,1190000,5.03,156989557620000,1132505220813,Financials,0.827868
KR,005930,삼성전자,285500,3.25,1669112542584000,5926486634990,Technology,0.827747
KR,077360,덕산하이메탈,13140,1.62,597042206280,9385748275,Technology,0.827513
KR,055550,신한지주,109300,-3.45,51310911122700,98782914050,Financials,0.826925
KR,042700,한미반도체,243500,1.46,23208520700000,89109822750,Industrials,0.826662
