시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,이상치상태,1단계점수,점수식버전
한국,222800,심텍,Technology,149500,0.95,5753436637000,584741,86694553100,14.3841,42.1103,27.0178,163.2042,없음,4.14685853,MSS7-S1-1.0.0
한국,010170,대한광통신,Other,17700,-0.62,2752096182000,8890968,158123523360,9.9379,34.6008,23.1733,114.5455,없음,3.90171061,MSS7-S1-1.0.0
한국,005930,삼성전자,Technology,285500,3.25,1669112542584000,20864376,5926486634990,12.6233,11.0895,-16.1527,50.5008,없음,3.90053208,MSS7-S1-1.0.0
한국,417840,저스템,Industrials,17080,7.56,391929311480,1983085,33170428755,17.5499,48.0069,39.2013,152.6627,없음,3.79667836,MSS7-S1-1.0.0
한국,096770,SK이노베이션,Energy,149200,5.82,25222675969600,999300,148676435650,9.4644,14.6810,51.6260,35.5132,없음,3.65797234,MSS7-S1-1.0.0
한국,000660,SK하이닉스,Technology,1862000,1.2,1360176783630000,2947714,5480333530143,5.8556,11.4303,-27.8295,88.8438,없음,3.65701727,MSS7-S1-1.0.0
한국,036930,주성엔지니어링,Industrials,209500,2.95,9737794849500,873557,180622863750,3.7129,26.2048,14.8575,170.6718,없음,3.58009528,MSS7-S1-1.0.0
한국,144960,뉴파워프라즈마,Industrials,12790,4.66,558828660960,1440331,18253979650,39.0217,33.3681,76.4138,135.9779,없음,3.41854263,MSS7-S1-1.0.0
한국,229640,LS에코에너지,Financials,64000,7.56,1959992256000,634008,40717518950,13.0742,49.1841,17.4312,42.3804,없음,3.40609150,MSS7-S1-1.0.0
한국,252990,샘씨엔에스,Technology,17930,3.22,1079706749770,637243,11511043865,8.0120,34.5086,45.5357,78.2306,없음,3.38108443,MSS7-S1-1.0.0
한국,030530,원익홀딩스,Materials,28300,6.79,2185834862300,6640185,192893126575,11.8577,47.0130,30.4147,-13.9818,없음,3.38031777,MSS7-S1-1.0.0
한국,402340,SK스퀘어,Financials,1190000,5.03,156989557620000,963292,1132505220813,16.6667,10.5948,-33.8521,100.0000,없음,3.35668011,MSS7-S1-1.0.0
한국,024840,KBI메탈,Materials,6350,-1.24,276011430450,2032142,12968095335,12.7886,22.1154,56.7901,203.8278,없음,3.35494046,MSS7-S1-1.0.0
한국,281820,케이씨텍,Technology,86800,7.69,1718523774800,298491,25587113350,23.1206,33.5385,6.5031,87.0690,없음,3.35442838,MSS7-S1-1.0.0
한국,009150,삼성전기,Technology,1507000,1.41,112563399872000,496091,743457672000,9.1238,14.3399,-23.2688,244.8513,없음,3.35122006,MSS7-S1-1.0.0
한국,000150,두산,Technology,1512000,2.65,24485078520000,79240,118116220500,9.0123,39.3548,-2.1359,31.3640,없음,3.30582947,MSS7-S1-1.0.0
한국,456010,아이씨티케이,Technology,22600,1.57,327753110000,1492535,35347643925,22.0302,39.3342,16.4948,63.0592,없음,3.28418263,MSS7-S1-1.0.0
한국,051160,지어소프트,Technology,12040,4.06,186312137200,161786,1947559850,21.3710,35.8916,81.8731,51.6373,없음,3.26473088,MSS7-S1-1.0.0
한국,010950,S-Oil,Energy,155600,0.84,17517882435200,376025,58872144050,7.9806,10.1983,45.0140,43.5424,없음,3.23332069,MSS7-S1-1.0.0
한국,080580,오킨스전자,Technology,24850,8.04,524110231750,1050265,26204884500,12.4434,53.6797,68.7033,36.3138,없음,3.22321489,MSS7-S1-1.0.0
한국,131290,티에스이,Technology,289000,2.85,3196752981000,72302,20758374500,18.9300,17.7189,15.8317,149.5682,없음,3.22077446,MSS7-S1-1.0.0
한국,003490,대한항공,Industrials,31500,0.32,11598949183500,4154511,130982068100,8.4337,21.1538,15.1737,26.7606,없음,3.20056180,MSS7-S1-1.0.0
한국,053800,안랩,Technology,74300,4.94,826699395800,128505,9493761250,15.0155,30.5800,41.5238,20.4214,없음,3.16161748,MSS7-S1-1.0.0
한국,103590,일진전기,Other,81700,6.8,3895896363000,999539,80921351650,16.0511,23.6006,10.2564,5.6921,없음,3.11560200,MSS7-S1-1.0.0
한국,095610,테스,Industrials,161900,8.95,3134384000000,358301,56509219850,19.3073,21.3643,-0.3692,156.9841,없음,3.09497765,MSS7-S1-1.0.0
한국,377030,비트맥스,Technology,2050,4.86,29297989100,52319,104539316,13.8889,24.6201,57.6923,175.5376,없음,3.09180693,MSS7-S1-1.0.0
한국,059090,미코,Technology,22550,-0.22,753548343900,359915,8063434975,13.9464,30.3468,22.6210,59.1390,없음,3.00787737,MSS7-S1-1.0.0
한국,001820,삼화콘덴서,Technology,146900,-0.34,1527025500000,618327,92014605700,2.0848,58.9827,8.0147,170.0368,없음,2.94636633,MSS7-S1-1.0.0
한국,203650,드림시큐리티,Technology,2790,3.72,283755510360,15868736,46055512140,4.6904,38.1188,9.6267,72.9696,없음,2.92494140,MSS7-S1-1.0.0
한국,043590,웰킵스하이텍,Technology,1717,3.5,23296910177,47485,80510375,14.4667,16.4068,76.8280,168.2812,없음,2.91973800,MSS7-S1-1.0.0
한국,077360,덕산하이메탈,Technology,13140,1.62,597042206280,713342,9385748275,23.2645,39.0476,13.2759,17.5313,없음,2.91122507,MSS7-S1-1.0.0
