시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,의심수익률,1단계선별점수,산식버전
한국,222800,심텍,Technology,149500,0.95,5753436637000,584741,86694553100,14.3841,42.1103,27.0178,163.2042,없음,0.9569498314,MSS7.1-S1-KR-1.0.0
한국,036540,SFA반도체,Technology,10570,-0.47,1738345402710,6183347,64581612360,18.4978,96.1039,71.8699,54.9853,1개월,0.9454993621,MSS7.1-S1-KR-1.0.0
한국,096770,SK이노베이션,Energy,149200,5.82,25222675969600,999300,148676435650,9.4644,14.6810,51.6260,35.5132,없음,0.9427346780,MSS7.1-S1-KR-1.0.0
한국,010170,대한광통신,Other,17700,-0.62,2752096182000,8890968,158123523360,9.9379,34.6008,23.1733,114.5455,없음,0.9404207148,MSS7.1-S1-KR-1.0.0
한국,229640,LS에코에너지,Financials,64000,7.56,1959992256000,634008,40717518950,13.0742,49.1841,17.4312,42.3804,없음,0.9253922682,MSS7.1-S1-KR-1.0.0
한국,092870,엑시콘,Industrials,42950,13.03,560531731150,1152464,49798031725,34.2188,110.5392,112.6238,45.5932,1개월,0.9244140210,MSS7.1-S1-KR-1.0.0
한국,003490,대한항공,Industrials,31500,0.32,11598949183500,4154511,130982068100,8.4337,21.1538,15.1737,26.7606,없음,0.9233274000,MSS7.1-S1-KR-1.0.0
한국,036930,주성엔지니어링,Industrials,209500,2.95,9737794849500,873557,180622863750,3.7129,26.2048,14.8575,170.6718,없음,0.9216554733,MSS7.1-S1-KR-1.0.0
한국,010950,S-Oil,Energy,155600,0.84,17517882435200,376025,58872144050,7.9806,10.1983,45.0140,43.5424,없음,0.9214231927,MSS7.1-S1-KR-1.0.0
한국,144960,뉴파워프라즈마,Industrials,12790,4.66,558828660960,1440331,18253979650,39.0217,33.3681,76.4138,135.9779,없음,0.9213442093,MSS7.1-S1-KR-1.0.0
한국,003160,디아이,Technology,36750,5.6,1040025000000,774795,28182485225,17.0382,61.5385,54.0881,3.2303,없음,0.9208250838,MSS7.1-S1-KR-1.0.0
한국,131290,티에스이,Technology,289000,2.85,3196752981000,72302,20758374500,18.9300,17.7189,15.8317,149.5682,없음,0.9194400963,MSS7.1-S1-KR-1.0.0
한국,000500,가온전선,Other,318500,-0.93,9484167829500,154317,48994969750,27.6553,102.2222,2.2472,178.4091,1개월,0.9194257430,MSS7.1-S1-KR-1.0.0
한국,098120,마이크로컨텍솔,Technology,58000,1.93,482140428000,260298,15588447250,16.0000,49.2921,136.7347,122.2222,없음,0.9141112246,MSS7.1-S1-KR-1.0.0
한국,159010,아스플로,Industrials,29800,22.89,397375222200,925696,27126742900,39.5785,49.0745,55.5324,458.0524,6개월|당일,0.9131120051,MSS7.1-S1-KR-1.0.0
한국,080580,오킨스전자,Technology,24850,8.04,524110231750,1050265,26204884500,12.4434,53.6797,68.7033,36.3138,없음,0.9125412181,MSS7.1-S1-KR-1.0.0
한국,446540,메가터치,Other,10900,15.47,316962309900,3520445,38921530020,21.7877,53.5211,86.9640,166.1783,없음,0.9122169852,MSS7.1-S1-KR-1.0.0
한국,064290,인텍플러스,Industrials,54800,-1.44,710075274400,267896,14628092200,8.0868,67.5841,33.8217,226.7740,없음,0.9115774966,MSS7.1-S1-KR-1.0.0
한국,103590,일진전기,Other,81700,6.8,3895896363000,999539,80921351650,16.0511,23.6006,10.2564,5.6921,없음,0.9107575426,MSS7.1-S1-KR-1.0.0
한국,417840,저스템,Industrials,17080,7.56,391929311480,1983085,33170428755,17.5499,48.0069,39.2013,152.6627,없음,0.9101963846,MSS7.1-S1-KR-1.0.0
한국,030530,원익홀딩스,Materials,28300,6.79,2185834862300,6640185,192893126575,11.8577,47.0130,30.4147,-13.9818,없음,0.9095052519,MSS7.1-S1-KR-1.0.0
한국,252990,샘씨엔에스,Technology,17930,3.22,1079706749770,637243,11511043865,8.0120,34.5086,45.5357,78.2306,없음,0.9075401475,MSS7.1-S1-KR-1.0.0
한국,119850,지엔씨에너지,Utilities,56100,2.19,922783794900,445029,24956907000,18.4794,14.4898,181.6265,68.4685,3개월,0.9074664621,MSS7.1-S1-KR-1.0.0
한국,281820,케이씨텍,Technology,86800,7.69,1718523774800,298491,25587113350,23.1206,33.5385,6.5031,87.0690,없음,0.9070700799,MSS7.1-S1-KR-1.0.0
한국,046970,우리로,Other,7910,3.94,346655742090,11635487,95135681205,9.2541,84.8131,30.7438,72.8962,없음,0.9021191894,MSS7.1-S1-KR-1.0.0
한국,007660,이수페타시스,Technology,118900,5.31,8728356139100,929301,109461510850,10.5019,18.1909,10.8108,-1.0815,없음,0.9013589798,MSS7.1-S1-KR-1.0.0
한국,192650,드림텍,Technology,8450,-0.94,556743705050,836268,7092574680,18.8467,79.0254,88.1960,18.6798,없음,0.9007048691,MSS7.1-S1-KR-1.0.0
한국,000150,두산,Technology,1512000,2.65,24485078520000,79240,118116220500,9.0123,39.3548,-2.1359,31.3640,없음,0.9000149578,MSS7.1-S1-KR-1.0.0
한국,053800,안랩,Technology,74300,4.94,826699395800,128505,9493761250,15.0155,30.5800,41.5238,20.4214,없음,0.8996536409,MSS7.1-S1-KR-1.0.0
한국,095610,테스,Industrials,161900,8.95,3134384000000,358301,56509219850,19.3073,21.3643,-0.3692,156.9841,없음,0.8984092357,MSS7.1-S1-KR-1.0.0
한국,437730,삼현,Industrials,51900,-3.71,1645622727300,403680,21317535800,4.8485,61.4308,32.3980,0.5814,없음,0.8978609261,MSS7.1-S1-KR-1.0.0
한국,140410,메지온,Healthcare,82200,4.31,2517101602800,132585,10914246150,14.0083,27.0479,38.1513,-5.8419,없음,0.8968882278,MSS7.1-S1-KR-1.0.0
한국,440110,파두,Technology,81600,12.86,4089059803200,1278892,103099823600,37.6054,31.6129,-5.4461,44.1696,없음,0.8964192574,MSS7.1-S1-KR-1.0.0
한국,067310,하나마이크론,Technology,46200,1.2,3071878147800,1706121,78283234600,32.1888,33.9130,-4.2487,41.5008,없음,0.8944055118,MSS7.1-S1-KR-1.0.0
한국,403870,HPSP,Industrials,55500,2.21,4567650000000,1404443,77548253400,3.9326,26.2799,9.6838,13.8462,없음,0.8935200055,MSS7.1-S1-KR-1.0.0
한국,059090,미코,Technology,22550,-0.22,753548343900,359915,8063434975,13.9464,30.3468,22.6210,59.1390,없음,0.8913815075,MSS7.1-S1-KR-1.0.0
한국,084370,유진테크,Industrials,163600,9.5,3749064471200,270216,43001863900,16.5242,20.5601,1.1125,27.3152,없음,0.8897459466,MSS7.1-S1-KR-1.0.0
한국,001820,삼화콘덴서,Technology,146900,-0.34,1527025500000,618327,92014605700,2.0848,58.9827,8.0147,170.0368,없음,0.8880755563,MSS7.1-S1-KR-1.0.0
한국,456010,아이씨티케이,Technology,22600,1.57,327753110000,1492535,35347643925,22.0302,39.3342,16.4948,63.0592,없음,0.8865067325,MSS7.1-S1-KR-1.0.0
한국,425420,티에프이,Technology,64300,-0.16,793923738300,67134,4342503050,14.4128,53.0952,48.1567,5.2373,없음,0.8863744541,MSS7.1-S1-KR-1.0.0
한국,064760,티씨케이,Materials,286000,4.95,3197312976000,48692,13745289250,5.9259,25.7143,10.8527,24.3478,없음,0.8861687854,MSS7.1-S1-KR-1.0.0
한국,095340,ISC,Industrials,212500,2.16,4504374825000,117738,24686123500,10.7348,37.8080,11.5486,-10.9015,없음,0.8855928230,MSS7.1-S1-KR-1.0.0
한국,204270,제이앤티씨,Technology,23800,-4.99,1376793490800,1055612,25593965575,10.4408,28.1637,6.0134,39.1813,없음,0.8854269072,MSS7.1-S1-KR-1.0.0
한국,180640,한진칼,Financials,140100,-2.37,9353394727500,70054,9869157150,3.3186,15.3086,22.8947,15.4988,없음,0.8803031216,MSS7.1-S1-KR-1.0.0
한국,077360,덕산하이메탈,Technology,13140,1.62,597042206280,713342,9385748275,23.2645,39.0476,13.2759,17.5313,없음,0.8793520834,MSS7.1-S1-KR-1.0.0
한국,024840,KBI메탈,Materials,6350,-1.24,276011430450,2032142,12968095335,12.7886,22.1154,56.7901,203.8278,없음,0.8745612778,MSS7.1-S1-KR-1.0.0
한국,396300,HT로보틱스,Industrials,6010,29.95,159201895000,12897056,71363086667,28.6938,39.1204,73.1988,59.2053,당일,0.8735261033,MSS7.1-S1-KR-1.0.0
한국,010580,에스엠벡셀,Industrials,2765,2.03,307611116400,2953642,8171868886,8.0078,82.3879,62.9346,41.7949,없음,0.8704733678,MSS7.1-S1-KR-1.0.0
