market,symbol,name,level1_score,screen_evidence,status
KR,222800,심텍,0.936787,r1m=42.1103;r3m=27.0178;r6m=163.2042;liquidity=86694553100,L2_PASS
KR,010170,대한광통신,0.910081,r1m=34.6008;r3m=23.1733;r6m=114.5455;liquidity=158123523360,L2_PASS
KR,098120,마이크로컨텍솔,0.907896,r1m=49.2921;r3m=136.7347;r6m=122.2222;liquidity=15588447250,L2_PASS
KR,001820,삼화콘덴서,0.883218,r1m=58.9827;r3m=8.0147;r6m=170.0368;liquidity=92014605700,L2_PASS
KR,010950,S-Oil,0.872798,r1m=10.1983;r3m=45.0140;r6m=43.5424;liquidity=58872144050,L2_PASS
KR,003490,대한항공,0.864560,r1m=21.1538;r3m=15.1737;r6m=26.7606;liquidity=130982068100,L2_PASS
KR,036930,주성엔지니어링,0.863113,r1m=26.2048;r3m=14.8575;r6m=170.6718;liquidity=180622863750,L2_PASS
KR,119850,지엔씨에너지,0.861301,r1m=14.4898;r3m=181.6265;r6m=68.4685;liquidity=24956907000,L2_PASS
KR,131290,티에스이,0.861172,r1m=17.7189;r3m=15.8317;r6m=149.5682;liquidity=20758374500,L2_PASS
KR,161890,한국콜마,0.861115,r1m=2.5820;r3m=70.1389;r6m=87.9795;liquidity=40522592900,L2_PASS
KR,066570,LG전자,0.859551,r1m=4.6046;r3m=2.2005;r6m=82.8521;liquidity=114955326500,L2_PASS
KR,006340,대원전선,0.837749,r1m=4.7360;r3m=20.6619;r6m=146.1679;liquidity=21037840590,L2_PASS
KR,028050,삼성E&A,0.834550,r1m=10.1563;r3m=12.2867;r6m=46.0059;liquidity=110184302725,L2_PASS
KR,024840,KBI메탈,0.833950,r1m=22.1154;r3m=56.7901;r6m=203.8278;liquidity=12968095335,L2_PASS
KR,059090,미코,0.832650,r1m=30.3468;r3m=22.6210;r6m=59.1390;liquidity=8063434975,L2_PASS
KR,425420,티에프이,0.830088,r1m=53.0952;r3m=48.1567;r6m=5.2373;liquidity=4342503050,L2_PASS
KR,105560,KB금융,0.828738,r1m=6.1925;r3m=14.0975;r6m=17.9033;liquidity=118050253200,L2_PASS
KR,055550,신한지주,0.826925,r1m=5.8083;r3m=14.2111;r6m=21.4444;liquidity=98782914050,L2_PASS
KR,086790,하나금융지주,0.825356,r1m=3.4188;r3m=16.5499;r6m=24.9765;liquidity=86391731820,L2_PASS
KR,108490,로보티즈,0.825346,r1m=21.6162;r3m=17.8082;r6m=16.2162;liquidity=64227738500,L2_PASS
KR,252990,샘씨엔에스,0.824140,r1m=34.5086;r3m=45.5357;r6m=78.2306;liquidity=11511043865,L2_PASS
KR,031980,피에스케이홀딩스,0.822790,r1m=48.0944;r3m=32.7909;r6m=60.7882;liquidity=15858437050,L2_PASS
KR,316140,우리금융지주,0.822776,r1m=10.6416;r3m=20.8547;r6m=9.4427;liquidity=49731421325,L2_PASS
KR,006400,삼성SDI,0.820418,r1m=1.1650;r3m=6.5440;r6m=31.0692;liquidity=195422763000,L2_PASS
KR,443060,HD현대마린솔루션,0.818936,r1m=15.7385;r3m=9.1324;r6m=32.9255;liquidity=13867663450,L2_PASS
KR,138040,메리츠금융지주,0.818838,r1m=8.8388;r3m=21.3527;r6m=18.3789;liquidity=18766875350,L2_PASS
KR,180640,한진칼,0.816164,r1m=15.3086;r3m=22.8947;r6m=15.4988;liquidity=9869157150,L2_PASS
KR,403870,HPSP,0.814013,r1m=26.2799;r3m=9.6838;r6m=13.8462;liquidity=77548253400,L2_PASS
KR,000810,삼성화재,0.812050,r1m=1.8868;r3m=1.8868;r6m=34.8595;liquidity=38949167000,L2_PASS
KR,090430,아모레퍼시픽,0.811663,r1m=1.8585;r3m=45.4082;r6m=5.0111;liquidity=20745686600,L2_PASS
KR,005830,DB손해보험,0.811482,r1m=2.2715;r3m=34.4501;r6m=0.4899;liquidity=30306492000,L2_PASS
KR,033780,KT&G,0.809150,r1m=0.6351;r3m=3.3808;r6m=10.5964;liquidity=46655668650,L2_PASS
KR,096530,씨젠,0.794625,r1m=5.7543;r3m=26.1596;r6m=52.8090;liquidity=5598570650,L2_PASS
KR,088350,한화생명,0.792175,r1m=7.6336;r3m=21.0300;r6m=16.4087;liquidity=11673718590,L2_PASS
KR,089860,롯데렌탈,0.790172,r1m=7.4675;r3m=79.5660;r6m=56.8720;liquidity=1289523325,L2_PASS
KR,452260,한화갤러리아,0.787114,r1m=42.1594;r3m=30.4245;r6m=8.0078;liquidity=4369612785,L2_PASS
KR,060370,LS마린솔루션,0.785636,r1m=9.9673;r3m=32.4803;r6m=11.4238;liquidity=5527330800,L2_PASS
KR,007340,DN오토모티브,0.785633,r1m=0.2092;r3m=25.8870;r6m=22.0382;liquidity=6331780225,L2_PASS
KR,332570,PS일렉트로닉스,0.784720,r1m=1.8454;r3m=48.1544;r6m=63.8219;liquidity=11456121240,L2_PASS
KR,033790,피노,0.774459,r1m=26.4559;r3m=7.1932;r6m=54.3147;liquidity=7039264685,L2_PASS
KR,020560,아시아나항공,0.772044,r1m=18.2461;r3m=15.1515;r6m=19.4286;liquidity=2326716815,L2_PASS
KR,029460,케이씨,0.768144,r1m=23.8571;r3m=50.7826;r6m=39.6135;liquidity=1531668200,L2_PASS
KR,139130,iM금융지주,0.763078,r1m=4.0912;r3m=11.8016;r6m=6.9028;liquidity=7279235655,L2_PASS
KR,203650,드림시큐리티,0.761265,r1m=38.1188;r3m=9.6267;r6m=72.9696;liquidity=46055512140,L2_PASS
KR,201490,미투온,0.756308,r1m=47.3161;r3m=87.1212;r6m=21.0784;liquidity=71386181320,L2_PASS
KR,452430,사피엔반도체,0.745008,r1m=54.2146;r3m=27.5753;r6m=21.0526;liquidity=1906662075,L2_PASS
KR,294870,IPARK현대산업개발,0.744860,r1m=8.2192;r3m=24.4748;r6m=8.4668;liquidity=2451310125,L2_PASS
KR,041960,코미팜,0.743671,r1m=0.5102;r3m=21.3054;r6m=15.0701;liquidity=5086242855,L2_PASS
KR,003690,코리안리,0.742441,r1m=2.0167;r3m=18.2111;r6m=10.7170;liquidity=2688224195,L2_PASS
KR,013030,하이록코리아,0.732559,r1m=21.8094;r3m=19.4929;r6m=4.1436;liquidity=1464058525,L2_PASS
KR,045100,한양이엔지,0.732396,r1m=11.6319;r3m=15.6475;r6m=1.5798;liquidity=1629391375,L2_PASS
KR,068930,디지털대성,0.729653,r1m=15.2461;r3m=37.1429;r6m=7.2626;liquidity=3344629655,L2_PASS
KR,456010,아이씨티케이,0.841863,r1m=39.3342;r3m=16.4948;r6m=63.0592;liquidity=35347643925,L2_PASS
KR,017900,광전자,0.834541,r1m=31.0345;r3m=33.1536;r6m=277.8203;liquidity=30374224915,L2_PASS
KR,077360,덕산하이메탈,0.827513,r1m=39.0476;r3m=13.2759;r6m=17.5313;liquidity=9385748275,L2_PASS
KR,096770,SK이노베이션,0.826626,r1m=14.6810;r3m=51.6260;r6m=35.5132;liquidity=148676435650,L2_PASS
KR,000880,한화,0.820809,r1m=55.1313;r3m=25.2408;r6m=13.4380;liquidity=8086377750,L2_PASS
KR,417840,저스템,0.806402,r1m=48.0069;r3m=39.2013;r6m=152.6627;liquidity=33170428755,L2_PASS
KR,021240,코웨이,0.797190,r1m=2.3590;r3m=15.6431;r6m=38.0360;liquidity=23512651150,L2_PASS
