market,symbol,name,level1_score,direct_trend_evidence,liquidity_evidence,status
KR,222800,심텍,0.936787,r1w=14.3841;r1m=42.1103;r3m=27.0178;r6m=163.2042,trading_value=86694553100,L2_PASS
KR,010170,대한광통신,0.910081,r1w=9.9379;r1m=34.6008;r3m=23.1733;r6m=114.5455,trading_value=158123523360,L2_PASS
KR,098120,마이크로컨텍솔,0.907896,r1w=16.0000;r1m=49.2921;r3m=136.7347;r6m=122.2222,trading_value=15588447250,L2_PASS
KR,001820,삼화콘덴서,0.883218,r1w=2.0848;r1m=58.9827;r3m=8.0147;r6m=170.0368,trading_value=92014605700,L2_PASS
KR,010950,S-Oil,0.872798,r1w=7.9806;r1m=10.1983;r3m=45.0140;r6m=43.5424,trading_value=58872144050,L2_PASS
KR,003490,대한항공,0.864560,r1w=8.4337;r1m=21.1538;r3m=15.1737;r6m=26.7606,trading_value=130982068100,L2_PASS
KR,036930,주성엔지니어링,0.863113,r1w=3.7129;r1m=26.2048;r3m=14.8575;r6m=170.6718,trading_value=180622863750,L2_PASS
KR,119850,지엔씨에너지,0.861301,r1w=18.4794;r1m=14.4898;r3m=181.6265;r6m=68.4685,trading_value=24956907000,L2_PASS
KR,131290,티에스이,0.861172,r1w=18.9300;r1m=17.7189;r3m=15.8317;r6m=149.5682,trading_value=20758374500,L2_PASS
KR,161890,한국콜마,0.861115,r1w=-2.0000;r1m=2.5820;r3m=70.1389;r6m=87.9795,trading_value=40522592900,L2_PASS
KR,066570,LG전자,0.859551,r1w=4.5000;r1m=4.6046;r3m=2.2005;r6m=82.8521,trading_value=114955326500,L2_PASS
KR,006340,대원전선,0.837749,r1w=5.8870;r1m=4.7360;r3m=20.6619;r6m=146.1679,trading_value=21037840590,L2_PASS
KR,028050,삼성E&A,0.834550,r1w=-2.2772;r1m=10.1563;r3m=12.2867;r6m=46.0059,trading_value=110184302725,L2_PASS
KR,024840,KBI메탈,0.833950,r1w=12.7886;r1m=22.1154;r3m=56.7901;r6m=203.8278,trading_value=12968095335,L2_PASS
KR,059090,미코,0.832650,r1w=13.9464;r1m=30.3468;r3m=22.6210;r6m=59.1390,trading_value=8063434975,L2_PASS
KR,425420,티에프이,0.830088,r1w=14.4128;r1m=53.0952;r3m=48.1567;r6m=5.2373,trading_value=4342503050,L2_PASS
KR,105560,KB금융,0.828738,r1w=-1.9808;r1m=6.1925;r3m=14.0975;r6m=17.9033,trading_value=118050253200,L2_PASS
KR,055550,신한지주,0.826925,r1w=-2.4978;r1m=5.8083;r3m=14.2111;r6m=21.4444,trading_value=98782914050,L2_PASS
KR,086790,하나금융지주,0.825356,r1w=-2.6335;r1m=3.4188;r3m=16.5499;r6m=24.9765,trading_value=86391731820,L2_PASS
KR,108490,로보티즈,0.825346,r1w=-2.5890;r1m=21.6162;r3m=17.8082;r6m=16.2162,trading_value=64227738500,L2_PASS
KR,252990,샘씨엔에스,0.824140,r1w=8.0120;r1m=34.5086;r3m=45.5357;r6m=78.2306,trading_value=11511043865,L2_PASS
KR,031980,피에스케이홀딩스,0.822790,r1w=-2.1583;r1m=48.0944;r3m=32.7909;r6m=60.7882,trading_value=15858437050,L2_PASS
KR,316140,우리금융지주,0.822776,r1w=-2.6171;r1m=10.6416;r3m=20.8547;r6m=9.4427,trading_value=49731421325,L2_PASS
KR,006400,삼성SDI,0.820418,r1w=-4.2279;r1m=1.1650;r3m=6.5440;r6m=31.0692,trading_value=195422763000,L2_PASS
KR,443060,HD현대마린솔루션,0.818936,r1w=1.0571;r1m=15.7385;r3m=9.1324;r6m=32.9255,trading_value=13867663450,L2_PASS
KR,138040,메리츠금융지주,0.818838,r1w=0.4800;r1m=8.8388;r3m=21.3527;r6m=18.3789,trading_value=18766875350,L2_PASS
KR,180640,한진칼,0.816164,r1w=3.3186;r1m=15.3086;r3m=22.8947;r6m=15.4988,trading_value=9869157150,L2_PASS
KR,403870,HPSP,0.814013,r1w=3.9326;r1m=26.2799;r3m=9.6838;r6m=13.8462,trading_value=77548253400,L2_PASS
KR,000810,삼성화재,0.812050,r1w=-1.9667;r1m=1.8868;r3m=1.8868;r6m=34.8595,trading_value=38949167000,L2_PASS
KR,090430,아모레퍼시픽,0.811663,r1w=-1.4523;r1m=1.8585;r3m=45.4082;r6m=5.0111,trading_value=20745686600,L2_PASS
KR,005830,DB손해보험,0.811482,r1w=-1.2834;r1m=2.2715;r3m=34.4501;r6m=0.4899,trading_value=30306492000,L2_PASS
KR,033780,KT&G,0.809150,r1w=1.3372;r1m=0.6351;r3m=3.3808;r6m=10.5964,trading_value=46655668650,L2_PASS
KR,096530,씨젠,0.794625,r1w=4.7766;r1m=5.7543;r3m=26.1596;r6m=52.8090,trading_value=5598570650,L2_PASS
KR,088350,한화생명,0.792175,r1w=-3.4247;r1m=7.6336;r3m=21.0300;r6m=16.4087,trading_value=11673718590,L2_PASS
KR,089860,롯데렌탈,0.790172,r1w=3.1153;r1m=7.4675;r3m=79.5660;r6m=56.8720,trading_value=1289523325,L2_PASS
KR,452260,한화갤러리아,0.787114,r1w=5.9387;r1m=42.1594;r3m=30.4245;r6m=8.0078,trading_value=4369612785,L2_PASS
KR,060370,LS마린솔루션,0.785636,r1w=4.1796;r1m=9.9673;r3m=32.4803;r6m=11.4238,trading_value=5527330800,L2_PASS
KR,007340,DN오토모티브,0.785633,r1w=3.4557;r1m=0.2092;r3m=25.8870;r6m=22.0382,trading_value=6331780225,L2_PASS
KR,332570,PS일렉트로닉스,0.784720,r1w=4.3735;r1m=1.8454;r3m=48.1544;r6m=63.8219,trading_value=11456121240,L2_PASS
KR,033790,피노,0.774459,r1w=-2.1879;r1m=26.4559;r3m=7.1932;r6m=54.3147,trading_value=7039264685,L2_PASS
KR,020560,아시아나항공,0.772044,r1w=6.9054;r1m=18.2461;r3m=15.1515;r6m=19.4286,trading_value=2326716815,L2_PASS
KR,029460,케이씨,0.768144,r1w=8.9196;r1m=23.8571;r3m=50.7826;r6m=39.6135,trading_value=1531668200,L2_PASS
KR,139130,iM금융지주,0.763078,r1w=-3.4688;r1m=4.0912;r3m=11.8016;r6m=6.9028,trading_value=7279235655,L2_PASS
