market,symbol,name,fresh_score,trend_fields,liquidity_fields,prior_recommendation_priority,status
KR,222800,심텍,7.281276,r1w=14.3841;r1m=42.1103;r3m=27.0178;r6m=163.2042,market_cap=5753436637000;trading_value=86694553100,NONE,L2_CURRENT_RUN
KR,010170,대한광통신,6.800914,r1w=9.9379;r1m=34.6008;r3m=23.1733;r6m=114.5455,market_cap=2752096182000;trading_value=158123523360,NONE,L2_CURRENT_RUN
KR,036930,주성엔지니어링,6.294764,r1w=3.7129;r1m=26.2048;r3m=14.8575;r6m=170.6718,market_cap=9737794849500;trading_value=180622863750,NONE,L2_CURRENT_RUN
KR,252990,샘씨엔에스,6.244429,r1w=8.0120;r1m=34.5086;r3m=45.5357;r6m=78.2306,market_cap=1079706749770;trading_value=11511043865,NONE,L2_CURRENT_RUN
KR,096770,SK이노베이션,6.102724,r1w=9.4644;r1m=14.6810;r3m=51.6260;r6m=35.5132,market_cap=25222675969600;trading_value=148676435650,NONE,L2_CURRENT_RUN
KR,131290,티에스이,6.092384,r1w=18.9300;r1m=17.7189;r3m=15.8317;r6m=149.5682,market_cap=3196752981000;trading_value=20758374500,NONE,L2_CURRENT_RUN
KR,281820,케이씨텍,5.919341,r1w=23.1206;r1m=33.5385;r3m=6.5031;r6m=87.0690,market_cap=1718523774800;trading_value=25587113350,NONE,L2_CURRENT_RUN
KR,010950,S-Oil,5.902845,r1w=7.9806;r1m=10.1983;r3m=45.0140;r6m=43.5424,market_cap=17517882435200;trading_value=58872144050,NONE,L2_CURRENT_RUN
KR,098120,마이크로컨텍솔,5.884846,r1w=16.0000;r1m=49.2921;r3m=136.7347;r6m=122.2222,market_cap=482140428000;trading_value=15588447250,NONE,L2_CURRENT_RUN
KR,036540,SFA반도체,5.827334,r1w=18.4978;r1m=96.1039;r3m=71.8699;r6m=54.9853,market_cap=1738345402710;trading_value=64581612360,NONE,L2_CURRENT_RUN
KR,003490,대한항공,5.793291,r1w=8.4337;r1m=21.1538;r3m=15.1737;r6m=26.7606,market_cap=11598949183500;trading_value=130982068100,NONE,L2_CURRENT_RUN
