시장,종목코드,종목명,현재실행점수,추세근거,유동성근거,이전추천우선권,상태
한국,098120,마이크로컨텍솔,6.332073,1주=16.0000;1개월=49.2921;3개월=136.7347;6개월=122.2222,시가총액=482140428000;거래대금=15588447250,없음,2단계
한국,222800,심텍,6.330753,1주=14.3841;1개월=42.1103;3개월=27.0178;6개월=163.2042,시가총액=5753436637000;거래대금=86694553100,없음,2단계
한국,417840,저스템,6.061886,1주=17.5499;1개월=48.0069;3개월=39.2013;6개월=152.6627,시가총액=391929311480;거래대금=33170428755,없음,2단계
한국,010170,대한광통신,5.862900,1주=9.9379;1개월=34.6008;3개월=23.1733;6개월=114.5455,시가총액=2752096182000;거래대금=158123523360,없음,2단계
한국,446540,메가터치,5.736378,1주=21.7877;1개월=53.5211;3개월=86.9640;6개월=166.1783,시가총액=316962309900;거래대금=38921530020,없음,2단계
한국,024840,KBI메탈,5.447350,1주=12.7886;1개월=22.1154;3개월=56.7901;6개월=203.8278,시가총액=276011430450;거래대금=12968095335,없음,2단계
한국,036540,SFA반도체,5.390981,1주=18.4978;1개월=96.1039;3개월=71.8699;6개월=54.9853,시가총액=1738345402710;거래대금=64581612360,없음,2단계
한국,096770,SK이노베이션,5.347270,1주=9.4644;1개월=14.6810;3개월=51.6260;6개월=35.5132,시가총액=25222675969600;거래대금=148676435650,없음,2단계
한국,252990,샘씨엔에스,5.340903,1주=8.0120;1개월=34.5086;3개월=45.5357;6개월=78.2306,시가총액=1079706749770;거래대금=11511043865,없음,2단계
한국,036930,주성엔지니어링,5.340794,1주=3.7129;1개월=26.2048;3개월=14.8575;6개월=170.6718,시가총액=9737794849500;거래대금=180622863750,없음,2단계
한국,051160,지어소프트,5.338559,1주=21.3710;1개월=35.8916;3개월=81.8731;6개월=51.6373,시가총액=186312137200;거래대금=1947559850,없음,2단계
한국,229640,LS에코에너지,5.282143,1주=13.0742;1개월=49.1841;3개월=17.4312;6개월=42.3804,시가총액=1959992256000;거래대금=40717518950,없음,2단계
한국,001820,삼화콘덴서,5.252252,1주=2.0848;1개월=58.9827;3개월=8.0147;6개월=170.0368,시가총액=1527025500000;거래대금=92014605700,없음,2단계
한국,456010,아이씨티케이,5.242329,1주=22.0302;1개월=39.3342;3개월=16.4948;6개월=63.0592,시가총액=327753110000;거래대금=35347643925,없음,2단계
한국,377030,비트맥스,5.229347,1주=13.8889;1개월=24.6201;3개월=57.6923;6개월=175.5376,시가총액=29297989100;거래대금=104539316,없음,2단계
한국,281820,케이씨텍,5.190039,1주=23.1206;1개월=33.5385;3개월=6.5031;6개월=87.0690,시가총액=1718523774800;거래대금=25587113350,없음,2단계
한국,144960,뉴파워프라즈마,5.172224,1주=39.0217;1개월=33.3681;3개월=76.4138;6개월=135.9779,시가총액=558828660960;거래대금=18253979650,없음,2단계
한국,425420,티에프이,5.131109,1주=14.4128;1개월=53.0952;3개월=48.1567;6개월=5.2373,시가총액=793923738300;거래대금=4342503050,없음,2단계
한국,131290,티에스이,5.052954,1주=18.9300;1개월=17.7189;3개월=15.8317;6개월=149.5682,시가총액=3196752981000;거래대금=20758374500,없음,2단계
한국,258790,소프트캠프,5.050000,1주=15.5629;1개월=58.4563;3개월=91.2329;6개월=455.7325,시가총액=34887826880;거래대금=628299710,없음,2단계
한국,080580,오킨스전자,5.028068,1주=12.4434;1개월=53.6797;3개월=68.7033;6개월=36.3138,시가총액=524110231750;거래대금=26204884500,없음,2단계
한국,043590,웰킵스하이텍,4.996695,1주=14.4667;1개월=16.4068;3개월=76.8280;6개월=168.2812,시가총액=23296910177;거래대금=80510375,없음,2단계
한국,053800,안랩,4.977824,1주=15.0155;1개월=30.5800;3개월=41.5238;6개월=20.4214,시가총액=826699395800;거래대금=9493761250,없음,2단계
한국,010950,S-Oil,4.842423,1주=7.9806;1개월=10.1983;3개월=45.0140;6개월=43.5424,시가총액=17517882435200;거래대금=58872144050,없음,2단계
한국,210120,캔버스엔,4.813999,1주=7.9863;1개월=46.6305;3개월=103.5484;6개월=18.7578,시가총액=18352617963;거래대금=284035761,없음,2단계
한국,059090,미코,4.810440,1주=13.9464;1개월=30.3468;3개월=22.6210;6개월=59.1390,시가총액=753548343900;거래대금=8063434975,없음,2단계
한국,219130,타이거일렉,4.756266,1주=8.0214;1개월=27.6461;3개월=28.6624;6개월=146.7176,시가총액=510194632000;거래대금=2999571350,없음,2단계
한국,172670,에이엘티,4.720710,1주=19.1176;1개월=39.0909;3개월=35.1325;6개월=18.7069,시가총액=123382766430;거래대금=1095577200,없음,2단계
한국,077360,덕산하이메탈,4.713474,1주=23.2645;1개월=39.0476;3개월=13.2759;6개월=17.5313,시가총액=597042206280;거래대금=9385748275,없음,2단계
한국,003160,디아이,4.711303,1주=17.0382;1개월=61.5385;3개월=54.0881;6개월=3.2303,시가총액=1040025000000;거래대금=28182485225,없음,2단계
한국,203650,드림시큐리티,4.701838,1주=4.6904;1개월=38.1188;3개월=9.6267;6개월=72.9696,시가총액=283755510360;거래대금=46055512140,없음,2단계
한국,003490,대한항공,4.695873,1주=8.4337;1개월=21.1538;3개월=15.1737;6개월=26.7606,시가총액=11598949183500;거래대금=130982068100,없음,2단계
한국,064290,인텍플러스,4.677641,1주=8.0868;1개월=67.5841;3개월=33.8217;6개월=226.7740,시가총액=710075274400;거래대금=14628092200,없음,2단계
한국,340450,지씨지놈,4.654355,1주=21.5453;1개월=51.7625;3개월=83.2027;6개월=9.7987,시가총액=193463486740;거래대금=9428923255,없음,2단계
한국,103590,일진전기,4.630223,1주=16.0511;1개월=23.6006;3개월=10.2564;6개월=5.6921,시가총액=3895896363000;거래대금=80921351650,없음,2단계
한국,192650,드림텍,4.604777,1주=18.8467;1개월=79.0254;3개월=88.1960;6개월=18.6798,시가총액=556743705050;거래대금=7092574680,없음,2단계
한국,031980,피에스케이홀딩스,4.589062,1주=-2.1583;1개월=48.0944;3개월=32.7909;6개월=60.7882,시가총액=3518982864000;거래대금=15858437050,없음,2단계
한국,046970,우리로,4.578827,1주=9.2541;1개월=84.8131;3개월=30.7438;6개월=72.8962,시가총액=346655742090;거래대금=95135681205,없음,2단계
한국,069540,빛과전자,4.575653,1주=-8.8435;1개월=43.3155;3개월=56.7251;6개월=53.4351,시가총액=453021425940;거래대금=46349179042,없음,2단계
한국,123010,MSDI,4.569023,1주=6.8362;1개월=66.3366;3개월=92.2197;6개월=135.7895,시가총액=67924977120;거래대금=601194890,없음,2단계
한국,368970,오에스피,4.563765,1주=12.1212;1개월=15.6250;3개월=63.9102;6개월=77.8846,시가총액=31190217450;거래대금=28561482,없음,2단계
한국,089790,제이티,4.560194,1주=16.0853;1개월=49.7500;3개월=32.8160;6개월=5.6437,시가총액=61789922870;거래대금=604010290,없음,2단계
한국,201490,미투온,4.560028,1주=-3.5156;1개월=47.3161;3개월=87.1212;6개월=21.0784,시가총액=121241404830;거래대금=71386181320,없음,2단계
한국,005930,삼성전자,4.527578,1주=12.6233;1개월=11.0895;3개월=-16.1527;6개월=50.5008,시가총액=1669112542584000;거래대금=5926486634990,없음,2단계
한국,069920,엑시온그룹,4.521491,1주=9.5197;1개월=26.6667;3개월=25.5255;6개월=194.3662,시가총액=28458800172;거래대금=237350483,없음,2단계
한국,029460,케이씨,4.486147,1주=8.9196;1개월=23.8571;3개월=50.7826;6개월=39.6135,시가총액=477740192250;거래대금=1531668200,없음,2단계
한국,030530,원익홀딩스,4.448963,1주=11.8577;1개월=47.0130;3개월=30.4147;6개월=-13.9818,시가총액=2185834862300;거래대금=192893126575,없음,2단계
한국,204270,제이앤티씨,4.407332,1주=10.4408;1개월=28.1637;3개월=6.0134;6개월=39.1813,시가총액=1376793490800;거래대금=25593965575,없음,2단계
한국,010580,에스엠벡셀,4.387591,1주=8.0078;1개월=82.3879;3개월=62.9346;6개월=41.7949,시가총액=307611116400;거래대금=8171868886,없음,2단계
한국,452260,한화갤러리아,4.385767,1주=5.9387;1개월=42.1594;3개월=30.4245;6개월=8.0078,시가총액=536021821650;거래대금=4369612785,없음,2단계
한국,086670,비엠티,4.369975,1주=16.0457;1개월=27.7962;3개월=28.5619;6개월=35.9859,시가총액=191668839350;거래대금=1391517975,없음,2단계
한국,246960,SCL사이언스,4.360470,1주=20.0883;1개월=34.3210;3개월=75.2577;6개월=31.7191,시가총액=92526367840;거래대금=1256293632,없음,2단계
한국,396300,HT로보틱스,4.326411,1주=28.6938;1개월=39.1204;3개월=73.1988;6개월=59.2053,시가총액=159201895000;거래대금=71363086667,없음,2단계
한국,093520,매커스,4.317194,1주=10.7955;1개월=16.3022;3개월=71.9577;6개월=24.7335,시가총액=348128732250;거래대금=1042085550,없음,2단계
한국,005160,동국산업,4.284797,1주=0.1433;1개월=41.2121;3개월=49.6788;6개월=10.0787,시가총액=189584464590;거래대금=2210599615,없음,2단계
한국,000150,두산,4.277270,1주=9.0123;1개월=39.3548;3개월=-2.1359;6개월=31.3640,시가총액=24485078520000;거래대금=118116220500,없음,2단계
한국,403870,HPSP,4.272086,1주=3.9326;1개월=26.2799;3개월=9.6838;6개월=13.8462,시가총액=4567650000000;거래대금=77548253400,없음,2단계
한국,000660,SK하이닉스,4.248949,1주=5.8556;1개월=11.4303;3개월=-27.8295;6개월=88.8438,시가총액=1360176783630000;거래대금=5480333530143,없음,2단계
한국,119850,지엔씨에너지,4.238978,1주=18.4794;1개월=14.4898;3개월=181.6265;6개월=68.4685,시가총액=922783794900;거래대금=24956907000,없음,2단계
한국,286750,나노실리칸첨단소재,4.230406,1주=1.1342;1개월=87.7193;3개월=64.4130;6개월=109.6395,시가총액=42838594900;거래대금=132945930,없음,2단계
한국,452430,사피엔반도체,4.192127,1주=3.4704;1개월=54.2146;3개월=27.5753;6개월=21.0526,시가총액=332280695250;거래대금=1906662075,없음,2단계
한국,066570,LG전자,4.182229,1주=4.5000;1개월=4.6046;3개월=2.2005;6개월=82.8521,시가총액=34042889342000;거래대금=114955326500,없음,2단계
한국,072950,빛샘전자,4.161978,1주=4.9520;1개월=66.2763;3개월=71.2907;6개월=72.1212,시가총액=114347062000;거래대금=176368464865,없음,2단계
한국,389680,유디엠텍,4.150000,1주=19.2460;1개월=210.7549;3개월=65.1099;6개월=378.5032,시가총액=25003682465;거래대금=343076715,없음,2단계
