시장,종목코드,종목명,업종,1단계점수,2단계점수,이상치상태,2단계핵심,점수식버전
한국,222800,심텍,Technology,4.14685853,3.32415055,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,010170,대한광통신,Other,3.90171061,3.17046872,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,036930,주성엔지니어링,Industrials,3.58009528,3.10140802,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,096770,SK이노베이션,Energy,3.65797234,3.00442686,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,003490,대한항공,Industrials,3.20056180,2.88874970,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,456010,아이씨티케이,Technology,3.28418263,2.81905699,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,281820,케이씨텍,Technology,3.35442838,2.80856583,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,103590,일진전기,Other,3.11560200,2.72943984,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,131290,티에스이,Technology,3.22077446,2.72117318,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,252990,샘씨엔에스,Technology,3.38108443,2.71648907,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,010950,S-Oil,Energy,3.23332069,2.69263393,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,203650,드림시큐리티,Technology,2.92494140,2.69187478,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,403870,HPSP,Industrials,2.85721105,2.66594991,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,051160,지어소프트,Technology,3.26473088,2.64579556,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,084370,유진테크,Industrials,2.89645192,2.60678288,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,053800,안랩,Technology,3.16161748,2.59939453,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,024840,KBI메탈,Materials,3.35494046,2.59358607,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,417840,저스템,Industrials,3.79667836,2.57806392,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,204270,제이앤티씨,Technology,2.83286034,2.57389509,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,377030,비트맥스,Technology,3.09180693,2.56797979,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,059090,미코,Technology,3.00787737,2.53021148,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,069540,빛과전자,Technology,2.82291071,2.49678910,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,043590,웰킵스하이텍,Technology,2.91973800,2.49054877,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,077360,덕산하이메탈,Technology,2.91122507,2.48671795,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,005930,삼성전자,Technology,3.90053208,2.48190610,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,219130,타이거일렉,Technology,2.84087890,2.45506217,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,172670,에이엘티,Technology,2.78379395,2.42937394,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,030530,원익홀딩스,Materials,3.38031777,2.40673802,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,029460,케이씨,Technology,2.70511207,2.39396710,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,000660,SK하이닉스,Technology,3.65701727,2.37232444,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,229640,LS에코에너지,Financials,3.40609150,2.36234223,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,066570,LG전자,Technology,2.81442330,2.36131588,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,000150,두산,Technology,3.30582947,2.33598279,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,105560,KB금융,Financials,2.40523485,2.30064243,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,086670,비엠티,Industrials,2.61268385,2.28904107,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,108490,로보티즈,Industrials,2.38525684,2.27901570,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,093520,매커스,Industrials,2.57603129,2.27254742,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,028050,삼성E&A,Other,2.33890286,2.27014221,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,064760,티씨케이,Materials,2.61756537,2.26935058,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,246960,SCL사이언스,Healthcare,2.76210307,2.26627971,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,055550,신한지주,Financials,2.33887445,2.24756472,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,041520,이엘씨,Technology,2.34998926,2.23416183,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,089860,롯데렌탈,Industrials,2.42724612,2.20559409,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,138040,메리츠금융지주,Financials,2.38758860,2.20309913,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,368970,오에스피,Consumer,2.65224507,2.20184361,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
