시장,종목코드,종목명,업종,1단계선별점수,2단계선별점수,지속성,업종내상대순위,추가검증,산식버전
한국,096770,SK이노베이션,Energy,0.9427346780,0.9682105382,1.0000,1.0000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,010170,대한광통신,Other,0.9404207148,0.9676709270,1.0000,1.0000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,222800,심텍,Technology,0.9569498314,0.9655772569,1.0000,1.0000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,036930,주성엔지니어링,Industrials,0.9216554733,0.9572887363,1.0000,0.9706,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,003490,대한항공,Industrials,0.9233274000,0.9559999859,1.0000,0.9853,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,036540,SFA반도체,Technology,0.9454993621,0.9478759832,1.0000,0.9899,균형=1;의심수익률=1개월,MSS7.1-S2-KR-1.0.0
한국,092870,엑시콘,Industrials,0.9244140210,0.9348826305,1.0000,1.0000,균형=1;의심수익률=1개월,MSS7.1-S2-KR-1.0.0
한국,103590,일진전기,Other,0.9107575426,0.9347142816,1.0000,0.9143,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,046970,우리로,Other,0.9021191894,0.9314815855,1.0000,0.8857,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,000500,가온전선,Other,0.9194257430,0.9282757459,1.0000,0.9714,균형=1;의심수익률=1개월,MSS7.1-S2-KR-1.0.0
한국,229640,LS에코에너지,Financials,0.9253922682,0.9272960859,1.0000,1.0000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,001820,삼화콘덴서,Technology,0.8880755563,0.9204356624,1.0000,0.8485,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,403870,HPSP,Industrials,0.8935200055,0.9182801465,1.0000,0.8676,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,003160,디아이,Technology,0.9208250838,0.9141905506,1.0000,0.9798,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,446540,메가터치,Other,0.9122169852,0.9131445616,1.0000,0.9429,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,080580,오킨스전자,Technology,0.9125412181,0.9054258190,1.0000,0.9495,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
