market,symbol,name,history_focus,price_position_focus,status
KR,222800,심텍,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,010170,대한광통신,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,098120,마이크로컨텍솔,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,001820,삼화콘덴서,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,010950,S-Oil,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,003490,대한항공,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,036930,주성엔지니어링,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,119850,지엔씨에너지,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,131290,티에스이,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,161890,한국콜마,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,066570,LG전자,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,006340,대원전선,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,028050,삼성E&A,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,024840,KBI메탈,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,059090,미코,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,425420,티에프이,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,105560,KB금융,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,055550,신한지주,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,086790,하나금융지주,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,108490,로보티즈,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,252990,샘씨엔에스,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,031980,피에스케이홀딩스,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
KR,316140,우리금융지주,multi_horizon_return/drawdown,recent_daily_move/overextension,L3_REVIEW
