market,symbol,name,fresh_score,sustainability_focus,anchoring_bias,status
KR,222800,심텍,7.281276,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,010170,대한광통신,6.800914,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,036930,주성엔지니어링,6.294764,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,252990,샘씨엔에스,6.244429,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,096770,SK이노베이션,6.102724,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,131290,티에스이,6.092384,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,281820,케이씨텍,5.919341,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,010950,S-Oil,5.902845,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,098120,마이크로컨텍솔,5.884846,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,036540,SFA반도체,5.827334,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,003490,대한항공,5.793291,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,144960,뉴파워프라즈마,5.745906,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,001820,삼화콘덴서,5.639583,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,024840,KBI메탈,5.540006,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,229640,LS에코에너지,5.505136,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,103590,일진전기,5.478369,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,456010,아이씨티케이,5.433465,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,417840,저스템,5.353257,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,403870,HPSP,5.332813,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,059090,미코,5.327116,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,077360,덕산하이메탈,5.265258,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,000150,두산,5.209890,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
KR,053800,안랩,5.203000,multi-horizon persistence / overextension / liquidity / sector,NONE,L3_CURRENT_RUN
