시장,종목코드,종목명,현재실행점수,지속성검토,기존추천고착편향,상태
한국,098120,마이크로컨텍솔,6.332073,다기간 지속성·과열·유동성·업종,없음,3단계
한국,222800,심텍,6.330753,다기간 지속성·과열·유동성·업종,없음,3단계
한국,417840,저스템,6.061886,다기간 지속성·과열·유동성·업종,없음,3단계
한국,010170,대한광통신,5.862900,다기간 지속성·과열·유동성·업종,없음,3단계
한국,446540,메가터치,5.736378,다기간 지속성·과열·유동성·업종,없음,3단계
한국,024840,KBI메탈,5.447350,다기간 지속성·과열·유동성·업종,없음,3단계
한국,036540,SFA반도체,5.390981,다기간 지속성·과열·유동성·업종,없음,3단계
한국,096770,SK이노베이션,5.347270,다기간 지속성·과열·유동성·업종,없음,3단계
한국,252990,샘씨엔에스,5.340903,다기간 지속성·과열·유동성·업종,없음,3단계
한국,036930,주성엔지니어링,5.340794,다기간 지속성·과열·유동성·업종,없음,3단계
한국,051160,지어소프트,5.338559,다기간 지속성·과열·유동성·업종,없음,3단계
한국,229640,LS에코에너지,5.282143,다기간 지속성·과열·유동성·업종,없음,3단계
한국,001820,삼화콘덴서,5.252252,다기간 지속성·과열·유동성·업종,없음,3단계
한국,456010,아이씨티케이,5.242329,다기간 지속성·과열·유동성·업종,없음,3단계
한국,377030,비트맥스,5.229347,다기간 지속성·과열·유동성·업종,없음,3단계
한국,281820,케이씨텍,5.190039,다기간 지속성·과열·유동성·업종,없음,3단계
한국,144960,뉴파워프라즈마,5.172224,다기간 지속성·과열·유동성·업종,없음,3단계
한국,425420,티에프이,5.131109,다기간 지속성·과열·유동성·업종,없음,3단계
한국,131290,티에스이,5.052954,다기간 지속성·과열·유동성·업종,없음,3단계
한국,258790,소프트캠프,5.050000,다기간 지속성·과열·유동성·업종,없음,3단계
한국,080580,오킨스전자,5.028068,다기간 지속성·과열·유동성·업종,없음,3단계
한국,043590,웰킵스하이텍,4.996695,다기간 지속성·과열·유동성·업종,없음,3단계
한국,053800,안랩,4.977824,다기간 지속성·과열·유동성·업종,없음,3단계
한국,010950,S-Oil,4.842423,다기간 지속성·과열·유동성·업종,없음,3단계
한국,210120,캔버스엔,4.813999,다기간 지속성·과열·유동성·업종,없음,3단계
한국,059090,미코,4.810440,다기간 지속성·과열·유동성·업종,없음,3단계
한국,219130,타이거일렉,4.756266,다기간 지속성·과열·유동성·업종,없음,3단계
한국,172670,에이엘티,4.720710,다기간 지속성·과열·유동성·업종,없음,3단계
한국,077360,덕산하이메탈,4.713474,다기간 지속성·과열·유동성·업종,없음,3단계
한국,003160,디아이,4.711303,다기간 지속성·과열·유동성·업종,없음,3단계
미국,GOOGL,Alphabet Inc. Class A Common Stock,2.669175,규모·유동성·가격위치·최신자료,없음,3단계
미국,AMZN,Amazon.com Inc. Common Stock,2.654344,규모·유동성·가격위치·최신자료,없음,3단계
미국,GOOG,Alphabet Inc. Class C Capital Stock,2.610123,규모·유동성·가격위치·최신자료,없음,3단계
미국,NVDA,NVIDIA Corporation Common Stock,2.577026,규모·유동성·가격위치·최신자료,없음,3단계
미국,MU,Micron Technology Inc. Common Stock,2.484376,규모·유동성·가격위치·최신자료,없음,3단계
미국,AMD,Advanced Micro Devices Inc. Common Stock,2.479947,규모·유동성·가격위치·최신자료,없음,3단계
미국,BAC,Bank of America Corporation Common Stock,2.413641,규모·유동성·가격위치·최신자료,없음,3단계
미국,AAPL,Apple Inc. Common Stock,2.397146,규모·유동성·가격위치·최신자료,없음,3단계
미국,CSCO,Cisco Systems Inc. Common Stock (DE),2.389819,규모·유동성·가격위치·최신자료,없음,3단계
미국,PLTR,Palantir Technologies Inc. Class A Common Stock,2.351384,규모·유동성·가격위치·최신자료,없음,3단계
미국,NFLX,Netflix Inc. Common Stock,2.321295,규모·유동성·가격위치·최신자료,없음,3단계
미국,XOM,ExxonMobil Holdings Corporation Common Stock,2.316574,규모·유동성·가격위치·최신자료,없음,3단계
미국,MSFT,Microsoft Corporation Common Stock,2.300105,규모·유동성·가격위치·최신자료,없음,3단계
미국,JPM,JP Morgan Chase & Co. Common Stock,2.273945,규모·유동성·가격위치·최신자료,없음,3단계
미국,T,AT&T Inc.,2.273248,규모·유동성·가격위치·최신자료,없음,3단계
미국,PFE,Pfizer Inc. Common Stock,2.265118,규모·유동성·가격위치·최신자료,없음,3단계
미국,KO,Coca-Cola Company (The) Common Stock,2.244597,규모·유동성·가격위치·최신자료,없음,3단계
미국,TSLA,Tesla Inc. Common Stock,2.237455,규모·유동성·가격위치·최신자료,없음,3단계
미국,AVGO,Broadcom Inc. Common Stock,2.221188,규모·유동성·가격위치·최신자료,없음,3단계
미국,VZ,Verizon Communications Inc. Common Stock,2.219792,규모·유동성·가격위치·최신자료,없음,3단계
미국,JNJ,Johnson & Johnson Common Stock,2.215023,규모·유동성·가격위치·최신자료,없음,3단계
미국,CVX,Chevron Corporation Common Stock,2.205402,규모·유동성·가격위치·최신자료,없음,3단계
미국,WBD,Warner Bros. Discovery Inc. Series A Common Stock,2.201828,규모·유동성·가격위치·최신자료,없음,3단계
