시장,종목코드,종목명,업종,2단계점수,3단계점수,가격기준일,기준가격,최근고점,최근고점대비,30일수익률,최신성,3단계핵심,기업행위이상치,점수식버전
한국,010170,대한광통신,Other,3.17046872,3.00966405,2026-09-23,17700,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,003490,대한항공,Industrials,2.88874970,2.91106240,2026-09-23,31500,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,103590,일진전기,Other,2.72943984,2.85530394,2026-09-23,81700,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,131290,티에스이,Technology,2.72117318,2.85241061,2026-09-23,289000,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,084370,유진테크,Industrials,2.60678288,2.81237401,2026-09-23,163600,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,053800,안랩,Technology,2.59939453,2.80978809,2026-09-23,74300,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,204270,제이앤티씨,Technology,2.57389509,2.80086328,2026-09-23,23800,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,059090,미코,Technology,2.53021148,2.78557402,2026-09-23,22550,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,219130,타이거일렉,Technology,2.45506217,2.75927176,2026-09-23,80800,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,172670,에이엘티,Technology,2.42937394,2.75028088,2026-09-23,13770,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,029460,케이씨,Technology,2.39396710,2.73788849,2026-09-23,43350,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,086670,비엠티,Industrials,2.28904107,2.70116437,2026-09-23,19310,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,222800,심텍,Technology,3.32415055,2.66345269,2026-09-23,149500,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,024900,디와이덕양,Industrials,2.16472293,2.65765303,2026-09-23,2220,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
한국,307870,비투엔,Technology,2.14203241,2.64971134,2026-09-23,1279,,,,최신,지속성=1.00;가속=1;균형=1;반전위험=0,없음,MSS7-S3-KR-1.0.0
미국,HPE,Hewlett Packard Enterprise Company Common Stock,Technology,2.32894667,2.63157867,2026-09-25,62.94,65.65,-4.13,14.25,최신,최근고점대비=-4.13%;30일=14.25%,없음,MSS7-S3-US-1.0.0
미국,PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,2.44058709,2.32623484,2026-09-25,189.67,194.68,-2.57,9.8,최신,최근고점대비=-2.57%;30일=9.8%,없음,MSS7-S3-US-1.0.0
미국,BAC,Bank of America Corporation Common Stock,Finance,2.50740463,2.20296185,2026-09-25,56.7,63.83,-11.17,-8.9,최신,최근고점대비=-11.17%;30일=-8.9%,없음,MSS7-S3-US-1.0.0
미국,TSLA,Tesla Inc. Common Stock,Industrials,2.33535776,2.18414310,2026-09-25,372.7,498.83,-25.29,7.91,최신,최근고점대비=-25.29%;30일=7.91%,없음,MSS7-S3-US-1.0.0
미국,CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,2.39240016,2.15696006,2026-09-25,106.7,112.95,-5.53,-5,최신,최근고점대비=-5.53%;30일=-5%,없음,MSS7-S3-US-1.0.0
미국,NVDA,NVIDIA Corporation Common Stock,Technology,2.71752009,2.13700804,2026-09-25,224.69,236.54,-5.01,,최신,최근고점대비=-5.01%;30일=미확인%,없음,MSS7-S3-US-1.0.0
미국,GOOGL,Alphabet Inc. Class A Common Stock,Technology,2.58003992,2.08201597,2026-09-25,343.92,364.17,-5.56,,최신,최근고점대비=-5.56%;30일=미확인%,없음,MSS7-S3-US-1.0.0
미국,GOOG,Alphabet Inc. Class C Capital Stock,Technology,2.49296620,2.04718648,2026-09-25,341.08,359.98,-5.25,,최신,최근고점대비=-5.25%;30일=미확인%,없음,MSS7-S3-US-1.0.0
미국,T,AT&T Inc.,Telecommunications,2.35273267,1.99109307,2026-09-25,25.38,26.93,-5.76,,최신,최근고점대비=-5.76%;30일=미확인%,없음,MSS7-S3-US-1.0.0
