시장,종목코드,종목명,2단계선별점수,가격기준일,종가,최근고점_52주,최근저점_52주,고점대비조정률,저점대비회복률,1주또는7일수익률,1개월또는30일수익률,3개월수익률,추세지속성점수,가격위치점수,3단계선별점수,가격구조상태,기업행위검증,검증상태,미검증사유,자료원,산식버전
한국,096770,SK이노베이션,0.9682105382,2026-09-23,149200,164700,87700,9.4111,70.1254,9.4644,14.681,51.626,1.0000,1.0000,0.9841052691,조정후회복,주요 기업행위 의심없음,검증,,한국경제 2026-09-23 종가·52주 범위,MSS7.1-S3-1.0.0
한국,010170,대한광통신,0.9676709270,2026-09-23,17700,31500,1272,43.8095,1291.5094,9.9379,34.6008,23.1733,1.0000,0.4000,0.8338354635,깊은조정,주요 기업행위 미확인,검증,,한국경제 2026-09-23 종가·52주 범위,MSS7.1-S3-1.0.0
한국,222800,심텍,0.9655772569,2026-09-23,149500,164200,36500,8.9525,309.5890,14.3841,42.1103,27.0178,1.0000,1.0000,0.9827886285,조정후회복,주요 기업행위 의심없음,검증,,한국경제 2026-09-23 종가·52주 범위,MSS7.1-S3-1.0.0
한국,036930,주성엔지니어링,0.9572887363,2026-09-23,209500,283000,26350,25.9717,695.0664,3.7129,26.2048,14.8575,1.0000,0.7500,0.9161443681,중간조정,주요 기업행위 의심없음,검증,,한국경제 2026-09-23 종가·52주 범위,MSS7.1-S3-1.0.0
한국,003490,대한항공,0.9559999859,2026-09-23,31500,31400,21000,,,8.4337,21.1538,15.1737,,,,미검증,미검증,미검증,현재가가 동일 화면의 52주 최고가보다 높아 가격구조 모순,한국경제 2026-09-23,MSS7.1-S3-1.0.0
한국,036540,SFA반도체,0.9478759832,2026-09-23,10570,11640,3735,9.1924,182.9987,18.4978,96.1039,71.8699,1.0000,1.0000,0.9739379916,조정후회복,최근 180일 주요 증자·분할·자사주 결정 공시 없음(DART 집계),검증,,한국경제 가격 + DART 집계,MSS7.1-S3-1.0.0
한국,092870,엑시콘,0.9348826305,2026-09-23,42950,41700,10110,,,34.2188,110.5392,112.6238,,,,미검증,최근 180일 주요 증자·분할 공시 없음(DART 집계),미검증,현재가가 표시된 52주 최고가보다 높아 가격구조 모순,한국경제 가격 + DART 집계,MSS7.1-S3-1.0.0
한국,103590,일진전기,0.9347142816,2026-09-23,81700,147900,33500,44.7600,143.8806,16.0511,23.6006,10.2564,1.0000,0.4000,0.8173571408,깊은조정,주요 기업행위 의심없음,검증,,한국경제 2026-09-23 종가·52주 범위,MSS7.1-S3-1.0.0
한국,046970,우리로,0.9314815855,2026-09-23,7910,16200,1206,51.1728,555.8872,9.2541,84.8131,30.7438,1.0000,0.4000,0.8157407927,깊은조정,주요 기업행위 미확인,검증,,한국경제 2026-09-23 종가·52주 범위,MSS7.1-S3-1.0.0
한국,000500,가온전선,0.9282757459,2026-09-23,318500,635000,52600,,,27.6553,102.2222,2.2472,,,,미검증,"2026-06-16 무상증자 결정, 07-01 기준일, 07-23 신주상장",미검증,2026-07 무상증자로 52주 가격과 수익률 단순비교 불가,한국경제 가격 + DART 집계,MSS7.1-S3-1.0.0
미국,GOOGL,알파벳 A,0.9751652518,2026-09-25,343.92,408.61,235.84,15.8317,45.8277,-1.61,0.63,,0.5000,1.0000,0.8625826259,조정후회복,,검증,,FinanceCharts 2026-09-25,MSS7.1-S3-1.0.0
미국,MU,마이크론,0.9720951723,2026-09-25,1082.28,1255,155.18,13.7625,597.4352,10.54,15.82,,1.0000,1.0000,0.9860475861,조정후회복,,검증,,StockAnalysis 종가 + FinanceCharts 구조,MSS7.1-S3-1.0.0
미국,GOOG,알파벳 C,0.9689329459,2026-09-25,341.08,404.47,236.69,15.6724,44.1041,-0.97,0.65,,0.5000,1.0000,0.8594664730,조정후회복,,검증,,FinanceCharts 2026-09-25,MSS7.1-S3-1.0.0
미국,AMD,에이엠디,0.9666421530,2026-09-25,629.56,630.8,154.78,0.1966,306.7451,15.44,31.32,,1.0000,0.2500,0.7958210765,고점근접,,검증,,FinanceCharts + StockAnalysis,MSS7.1-S3-1.0.0
미국,JPM,JP모건,0.9589463964,2026-09-25,,366.5,279.1,,,-3.08,-5.08,,,,,미검증,,미검증,9월25일 종가가 자료원별 339.35~343.06으로 충돌,Investing 지역별 페이지 + FinanceCharts,MSS7.1-S3-1.0.0
미국,LLY,일라이릴리,0.9587673753,2026-09-25,1183.46,1292.65,712.05,8.4470,66.2046,2.56,-4.2,,0.5000,1.0000,0.8543836876,조정후회복,,검증,,StockAnalysis + FinanceCharts,MSS7.1-S3-1.0.0
미국,AMZN,아마존,0.9490780607,2026-09-25,249.67,287.2,196,13.0675,27.3827,-1.59,-4.08,,0.0000,1.0000,0.7245390304,조정후회복,,검증,,FinanceCharts 2026-09-25,MSS7.1-S3-1.0.0
미국,META,메타,0.9478629644,2026-09-25,751.66,779.82,520.26,3.6111,44.4778,,30.57,,1.0000,0.6000,0.8739314822,조정후회복,,검증,,FinanceCharts 2026-09-25,MSS7.1-S3-1.0.0
미국,CSCO,시스코,0.9476255036,2026-09-25,106.7,130.37,66.81,18.1560,59.7066,-2.57,-5.04,,0.0000,1.0000,0.7238127518,조정후회복,,검증,,FinanceCharts 2026-09-25,MSS7.1-S3-1.0.0
미국,XOM,엑슨모빌,0.9460722837,2026-09-25,160.59,176.41,110.39,8.9677,45.4751,-0.69,0.93,,0.5000,1.0000,0.8480361418,조정후회복,,검증,,StockAnalysis 종가 + FinanceCharts 구조,MSS7.1-S3-1.0.0
