market,symbol,name,price,pct,trend_evidence,pullback_evidence,prior_pullback,stage_status
KR,222800,심텍,149500,0.95,r1m=42.1103;r3m=27.0178;r6m=163.2042,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,000500,가온전선,318500,-0.93,r1m=102.2222;r3m=2.2472;r6m=178.4091,CURRENT_MILD_PULLBACK_OR_STABILIZATION,FAIL,DROP_PRIOR_PULLBACK
KR,036540,SFA반도체,10570,-0.47,r1m=96.1039;r3m=71.8699;r6m=54.9853,CURRENT_MILD_PULLBACK_OR_STABILIZATION,FAIL,DROP_PRIOR_PULLBACK
KR,010170,대한광통신,17700,-0.62,r1m=34.6008;r3m=23.1733;r6m=114.5455,CURRENT_MILD_PULLBACK_OR_STABILIZATION,FAIL,DROP_PRIOR_PULLBACK
KR,001820,삼화콘덴서,146900,-0.34,r1m=58.9827;r3m=8.0147;r6m=170.0368,CURRENT_MILD_PULLBACK_OR_STABILIZATION,FAIL,DROP_PRIOR_PULLBACK
KR,067310,하나마이크론,46200,1.2,r1m=33.9130;r3m=-4.2487;r6m=41.5008,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,064290,인텍플러스,54800,-1.44,r1m=67.5841;r3m=33.8217;r6m=226.7740,CURRENT_MILD_PULLBACK_OR_STABILIZATION,FAIL,DROP_PRIOR_PULLBACK
KR,010950,S-Oil,155600,0.84,r1m=10.1983;r3m=45.0140;r6m=43.5424,CURRENT_MILD_PULLBACK_OR_STABILIZATION,FAIL,DROP_PRIOR_PULLBACK
KR,000990,DB하이텍,132000,0.99,r1m=51.5499;r3m=-13.3858;r6m=58.2734,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,003490,대한항공,31500,0.32,r1m=21.1538;r3m=15.1737;r6m=26.7606,CURRENT_MILD_PULLBACK_OR_STABILIZATION,FAIL,DROP_PRIOR_PULLBACK
KR,192650,드림텍,8450,-0.94,r1m=79.0254;r3m=88.1960;r6m=18.6798,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,028050,삼성E&A,49350,-3.61,r1m=10.1563;r3m=12.2867;r6m=46.0059,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,017900,광전자,9880,-3.14,r1m=31.0345;r3m=33.1536;r6m=277.8203,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,024840,KBI메탈,6350,-1.24,r1m=22.1154;r3m=56.7901;r6m=203.8278,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,059090,미코,22550,-0.22,r1m=30.3468;r3m=22.6210;r6m=59.1390,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,062040,산일전기,205500,0.24,r1m=24.4700;r3m=-7.8475;r6m=34.4895,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,108490,로보티즈,301000,0.33,r1m=21.6162;r3m=17.8082;r6m=16.2162,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,443060,HD현대마린솔루션,239000,-1.65,r1m=15.7385;r3m=9.1324;r6m=32.9255,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,138040,메리츠금융지주,125600,-2.56,r1m=8.8388;r3m=21.3527;r6m=18.3789,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
KR,180640,한진칼,140100,-2.37,r1m=15.3086;r3m=22.8947;r6m=15.4988,CURRENT_MILD_PULLBACK_OR_STABILIZATION,UNVERIFIED,LEVEL3_PROVISIONAL
US,META,Meta Platforms Inc. Class A Common Stock,777.59,4.501,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,INTC,Intel Corporation Common Stock,127.39,3.907,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,AMD,Advanced Micro Devices Inc. Common Stock,629.26,2.384,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,LLY,Eli Lilly and Company Common Stock,1181.89,2.685,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,MRNA,Moderna Inc. Common Stock,194.82,6.979,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,V,Visa Inc.,367.98,1.787,BULK_RANK+TARGETED_HISTORY,AUG26_HIGH_385.57→SEP22_CLOSE_362.04(~-6.1%); SEP23-25 stabilization,PASS,LEVEL3_PASS_STABILIZING
US,GOOGL,Alphabet Inc. Class A Common Stock,342.36,1.341,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,TMO,Thermo Fisher Scientific Inc Common Stock,678.39,1.968,BULK_RANK+TARGETED_HISTORY,NEAR_HIGH / no qualifying current pullback confirmed,UNVERIFIED,LEVEL3_WATCH
US,GOOG,Alphabet Inc. Class C Capital Stock,339.01,1.203,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,CDNS,Cadence Design Systems Inc. Common Stock,322,4.177,BULK_RANK+TARGETED_HISTORY,CURRENT_STRUCTURE_REVIEWED_BUT_NOT_FIRST,FAIL,DROP_PRIOR_PULLBACK
US,DIS,Walt Disney Company (The) Common Stock,105.56,2.03,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,VZ,Verizon Communications Inc. Common Stock,47.32,1.72,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,VLO,Valero Energy Corporation Common Stock,382.86,1.868,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,RCL,Royal Caribbean Cruises Ltd. Common Stock,238.98,3.769,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,MU,Micron Technology Inc. Common Stock,1080.53,0.807,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,MA,Mastercard Incorporated Common Stock,566.08,1.1,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,P,Everpure Inc. Class A common stock,121.88,11.154,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,UNH,UnitedHealth Group Incorporated Common Stock (DE),375.01,1.002,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,HPE,Hewlett Packard Enterprise Company Common Stock,63.52,1.909,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
US,DDOG,Datadog Inc. Class A Common Stock,256.92,2.159,BULK_RANK+TARGETED_HISTORY,CURRENT_PULLBACK_UNVERIFIED,UNVERIFIED,LEVEL3_PROVISIONAL
